70,Framingham/Worcester Line,1,5,Ashland,42.261694,-71.478813,Trunk
71,Framingham/Worcester Line,1,6,Framingham,42.276719,-71.416792,Trunk
72,Framingham/Worcester Line,1,7,West Natick,42.281855,-71.390548,Trunk
73,Framingham/Worcester Line,1,8,Natick,42.285239,-71.347641,Trunk
74,Framingham/Worcester Line,1,9,Wellesley Square,42.296427,-71.294311,Trunk
75,Framingham/Worcester Line,1,10,Wellesley Hills,42.310027,-71.276769,Trunk
76,Framingham/Worcester Line,1,11,Wellesley Farms,42.323608,-71.272288,Trunk
77,Framingham/Worcester Line,1,12,Auburndale,42.346087,-71.246658,Trunk
78,Framingham/Worcester Line,1,13,West Newton,42.348599,-71.22901,Trunk
79,Framingham/Worcester Line,1,14,Newtonville,42.351603,-71.207338,Trunk
80,Framingham/Worcester Line,1,15,Yawkey,42.346796,-71.098937,Trunk
81,Framingham/Worcester Line,1,16,Back Bay,42.347158,-71.075769,Trunk
82,Framingham/Worcester Line,1,17,South Station,42.352614,-71.055364,Trunk
83,Franklin Line,0,1,South Station,42.352614,-71.055364,Trunk
84,Franklin Line,0,2,Back Bay,42.347158,-71.075769,Trunk
85,Franklin Line,0,3,Ruggles,42.335545,-71.090524,Trunk
86,Franklin Line,0,4,Hyde Park,42.255121,-71.125022,Trunk
87,Franklin Line,0,5,Readville,42.23775,-71.132376,Trunk
88,Franklin Line,0,6,Endicott,42.232881,-71.160413,Trunk
89,Franklin Line,0,7,Dedham Corp Center,42.225896,-71.173806,Trunk
90,Franklin Line,0,8,Islington,42.220714,-71.183406,Trunk
91,Franklin Line,0,9,Norwood Depot,42.195668,-71.196784,Trunk
92,Franklin Line,0,10,Norwood Central,42.190776,-71.199748,Trunk
93,Franklin Line,0,11,Windsor Gardens,42.172192,-71.220704,Trunk
94,Franklin Line,0,12,Plimptonville,42.159123,-71.236125,Trunk
95,Franklin Line,0,13,Walpole,42.144192,-71.259016,Trunk
96,Franklin Line,0,14,Norfolk,42.120694,-71.325217,Trunk
97,Franklin Line,0,15,Franklin,42.083591,-71.396735,Trunk
98,Franklin Line,0,16,Forge Park / 495,42.090704,-71.430342,Trunk
99,Franklin Line,1,1,Forge Park / 495,42.090704,-71.430342,Trunk
